SMILES,Hammet sigma p (https://pubs.acs.org/doi/abs/10.1021/ja01280a022),Hammet sigma m,HOMO,LUMO,,,
c1ccccc1Br,0.232,0.391,-0.29203,0.02258,,,
c1ccccc1Cl,0.227,0.373,-0.29762,0.02365,,,
c1ccccc1F,0.062,0.337,-0.29641,0.02728,,,
c1ccccc1C,-0.17,-0.069,-0.28713,0.04089,,,
c1ccccc1OC,-0.268,0.115,-0.26813,0.03915,,,
c1ccccc1N,-0.66,-0.161,-0.24982,0.04441,,,
c1ccccc1C#N,1,0.678,-0.31906,-0.01535,,,
c1ccccc1[N+](=O)[O-],0.778,0.710,-0.33211,-0.04538,,,
c1ccccc1C=O,,,-0.31495,-0.02357,,,
c1ccccc1C(=O)O,,,-0.31266,-0.01006,,,
c1ccccc1,0,0,-0.29915,0.04004,,,
